year,team,conference,elo
2014,Air Force,Mountain West,1432
2014,Akron,Mid-American,1221
2014,Alabama,SEC,2130
2014,App State,Sun Belt,1475
2014,Arizona,Pac-12,1723
2014,Arizona State,Pac-12,1775
2014,Arkansas,SEC,1862
2014,Arkansas State,Sun Belt,1460
2014,Army,FBS Independents,1185
2014,Auburn,SEC,1848
2014,Ball State,Mid-American,1415
2014,Baylor,Big 12,2061
2014,Boise State,Mountain West,1824
2014,Boston College,ACC,1546
2014,Bowling Green,Mid-American,1319
2014,Buffalo,Mid-American,1353
2014,BYU,FBS Independents,1603
2014,California,Pac-12,1376
2014,Central Michigan,Mid-American,1375
2014,Cincinnati,American Athletic,1625
2014,Clemson,ACC,1902
2014,Colorado,Pac-12,1286
2014,Colorado State,Mountain West,1552
2014,Duke,ACC,1608
2014,East Carolina,American Athletic,1641
2014,Eastern Michigan,Mid-American,791
2014,Florida,SEC,1741
2014,Florida Atlantic,Conference USA,1216
2014,Florida International,Conference USA,1231
2014,Florida State,ACC,1919
2014,Fresno State,Mountain West,1331
2014,Georgia,SEC,2034
2014,Georgia Southern,Sun Belt,1486
2014,Georgia State,Sun Belt,888
2014,Georgia Tech,ACC,1921
2014,Hawai'i,Mountain West,1271
2014,Houston,American Athletic,1595
2014,Idaho,Sun Belt,1001
2014,Illinois,Big Ten,1359
2014,Indiana,Big Ten,1370
2014,Iowa,Big Ten,1599
2014,Iowa State,Big 12,1256
2014,James Madison,CAA,1317
2014,Kansas,Big 12,1215
2014,Kansas State,Big 12,1873
2014,Kent State,Mid-American,1159
2014,Kentucky,SEC,1351
2014,Liberty,Big South,1426
2014,Louisiana,Sun Belt,1430
2014,Louisiana Tech,Conference USA,1802
2014,Louisville,ACC,1773
2014,LSU,SEC,1816
2014,Marshall,Conference USA,1874
2014,Maryland,Big Ten,1493
2014,Massachusetts,Mid-American,1110
2014,Memphis,American Athletic,1655
2014,Miami,ACC,1634
2014,Miami (OH),Mid-American,1076
2014,Michigan,Big Ten,1579
2014,Michigan State,Big Ten,2025
2014,Middle Tennessee,Conference USA,1312
2014,Minnesota,Big Ten,1700
2014,Mississippi State,SEC,1889
2014,Missouri,SEC,1801
2014,Navy,FBS Independents,1568
2014,NC State,ACC,1564
2014,Nebraska,Big Ten,1759
2014,Nevada,Mountain West,1414
2014,New Mexico,Mountain West,1206
2014,New Mexico State,Sun Belt,900
2014,North Carolina,ACC,1466
2014,Northern Illinois,Mid-American,1519
2014,North Texas,Conference USA,1248
2014,Northwestern,Big Ten,1473
2014,Notre Dame,FBS Independents,1643
2014,Ohio,Mid-American,1231
2014,Ohio State,Big Ten,2299
2014,Oklahoma,Big 12,1746
2014,Oklahoma State,Big 12,1601
2014,Old Dominion,Conference USA,1192
2014,Ole Miss,SEC,1780
2014,Oregon,Pac-12,2154
2014,Oregon State,Pac-12,1438
2014,Penn State,Big Ten,1584
2014,Pittsburgh,ACC,1547
2014,Purdue,Big Ten,1275
2014,Rice,Conference USA,1460
2014,Rutgers,Big Ten,1465
2014,San Diego State,Mountain West,1509
2014,San José State,Mountain West,1173
2014,SMU,American Athletic,971
2014,South Alabama,Sun Belt,1307
2014,South Carolina,SEC,1719
2014,Southern Miss,Conference USA,1015
2014,South Florida,American Athletic,1254
2014,Stanford,Pac-12,1871
2014,Syracuse,ACC,1390
2014,TCU,Big 12,2194
2014,Temple,American Athletic,1484
2014,Tennessee,SEC,1670
2014,Texas,Big 12,1596
2014,Texas A&M,SEC,1692
2014,Texas State,Sun Belt,1319
2014,Texas Tech,Big 12,1358
2014,Toledo,Mid-American,1524
2014,Troy,Sun Belt,1065
2014,Tulane,American Athletic,1217
2014,Tulsa,American Athletic,1177
2014,UAB,Conference USA,1347
2014,UCF,American Athletic,1689
2014,UCLA,Pac-12,1785
2014,UConn,American Athletic,1139
2014,UL Monroe,Sun Belt,1218
2014,UNLV,Mountain West,1099
2014,USC,Pac-12,1870
2014,Utah,Pac-12,1655
2014,Utah State,Mountain West,1608
2014,UTEP,Conference USA,1288
2014,UTSA,Conference USA,1191
2014,Vanderbilt,SEC,1298
2014,Virginia,ACC,1491
2014,Virginia Tech,ACC,1611
2014,Wake Forest,ACC,1237
2014,Washington,Pac-12,1687
2014,Washington State,Pac-12,1382
2014,Western Kentucky,Conference USA,1531
2014,Western Michigan,Mid-American,1416
2014,West Virginia,Big 12,1635
2014,Wisconsin,Big Ten,1847
2014,Wyoming,Mountain West,1191
2015,Air Force,Mountain West,1533
2015,Akron,Mid-American,1324
2015,Alabama,SEC,2197
2015,App State,Sun Belt,1635
2015,Arizona,Pac-12,1494
2015,Arizona State,Pac-12,1669
2015,Arkansas,SEC,1862
2015,Arkansas State,Sun Belt,1515
2015,Army,FBS Independents,1222
2015,Auburn,SEC,1734
2015,Ball State,Mid-American,1122
2015,Baylor,Big 12,1991
2015,Boise State,Mountain West,1840
2015,Boston College,ACC,1468
2015,Bowling Green,Mid-American,1661
2015,Buffalo,Mid-American,1252
2015,BYU,FBS Independents,1680
2015,California,Pac-12,1607
2015,Central Michigan,Mid-American,1473
2015,Charlotte,Conference USA,951
2015,Cincinnati,American Athletic,1469
2015,Clemson,ACC,2047
2015,Colorado,Pac-12,1366
2015,Colorado State,Mountain West,1435
2015,Duke,ACC,1532
2015,East Carolina,American Athletic,1539
2015,Eastern Michigan,Mid-American,945
2015,Florida,SEC,1699
2015,Florida Atlantic,Conference USA,1288
2015,Florida International,Conference USA,1154
2015,Florida State,ACC,1909
2015,Fresno State,Mountain West,1087
2015,Georgia,SEC,1797
2015,Georgia Southern,Sun Belt,1635
2015,Georgia State,Sun Belt,1344
2015,Georgia Tech,ACC,1632
2015,Hawai'i,Mountain West,949
2015,Houston,American Athletic,1920
2015,Idaho,Sun Belt,1078
2015,Illinois,Big Ten,1437
2015,Indiana,Big Ten,1489
2015,Iowa,Big Ten,1712
2015,Iowa State,Big 12,1393
2015,James Madison,CAA,1373
2015,Kansas,Big 12,924
2015,Kansas State,Big 12,1531
2015,Kent State,Mid-American,1013
2015,Kentucky,SEC,1460
2015,Liberty,Big South,1411
2015,Louisiana,Sun Belt,1199
2015,Louisiana Tech,Conference USA,1664
2015,Louisville,ACC,1671
2015,LSU,SEC,1817
2015,Marshall,Conference USA,1724
2015,Maryland,Big Ten,1348
2015,Massachusetts,Mid-American,1141
2015,Memphis,American Athletic,1681
2015,Miami,ACC,1498
2015,Miami (OH),Mid-American,1042
2015,Michigan,Big Ten,1880
2015,Michigan State,Big Ten,1848
2015,Middle Tennessee,Conference USA,1521
2015,Minnesota,Big Ten,1591
2015,Mississippi State,SEC,1841
2015,Missouri,SEC,1557
2015,Navy,American Athletic,1739
2015,NC State,ACC,1609
2015,Nebraska,Big Ten,1702
2015,Nevada,Mountain West,1390
2015,New Mexico,Mountain West,1342
2015,New Mexico State,Sun Belt,936
2015,North Carolina,ACC,1830
2015,Northern Illinois,Mid-American,1433
2015,North Texas,Conference USA,1013
2015,Northwestern,Big Ten,1446
2015,Notre Dame,FBS Independents,1784
2015,Ohio,Mid-American,1335
2015,Ohio State,Big Ten,2120
2015,Oklahoma,Big 12,2078
2015,Oklahoma State,Big 12,1707
2015,Old Dominion,Conference USA,1105
2015,Ole Miss,SEC,1937
2015,Oregon,Pac-12,1793
2015,Oregon State,Pac-12,1146
2015,Penn State,Big Ten,1585
2015,Pittsburgh,ACC,1576
2015,Purdue,Big Ten,1218
2015,Rice,Conference USA,1131
2015,Rutgers,Big Ten,1308
2015,San Diego State,Mountain West,1806
2015,San José State,Mountain West,1324
2015,SMU,American Athletic,1036
2015,South Alabama,Sun Belt,1115
2015,South Carolina,SEC,1579
2015,Southern Miss,Conference USA,1686
2015,South Florida,American Athletic,1693
2015,Stanford,Pac-12,2014
2015,Syracuse,ACC,1371
2015,TCU,Big 12,1947
